Indicator,RegionID,Date,Year,Home_value,Mongo_ID,City_Name,City_Size
ZATT,42415,1/31/2021,2021,334409,60403049bff9453704dc7595,"Waterloo, IA",Medium
ZATT,42415,12/31/2020,2020,332905,60403049bff9453704dc7596,"Waterloo, IA",Medium
ZATT,42415,11/30/2020,2020,331546,60403049bff9453704dc7597,"Waterloo, IA",Medium
ZATT,42415,10/31/2020,2020,334579,60403049bff9453704dc7598,"Waterloo, IA",Medium
ZATT,42415,9/30/2020,2020,336513,60403049bff9453704dc7599,"Waterloo, IA",Medium
ZATT,42415,8/31/2020,2020,338625,60403049bff9453704dc759a,"Waterloo, IA",Medium
ZATT,42415,7/31/2020,2020,341895,60403049bff9453704dc759b,"Waterloo, IA",Medium
ZATT,42415,6/30/2020,2020,335157,60403049bff9453704dc759c,"Waterloo, IA",Medium
ZATT,42415,5/31/2020,2020,337862,60403049bff9453704dc759d,"Waterloo, IA",Medium
ZATT,42415,4/30/2020,2020,334612,60403049bff9453704dc759e,"Waterloo, IA",Medium
ZATT,42415,3/31/2020,2020,334329,60403049bff9453704dc759f,"Waterloo, IA",Medium
ZATT,42415,2/29/2020,2020,334254,60403049bff9453704dc75a0,"Waterloo, IA",Medium
ZATT,42415,1/31/2020,2020,334105,60403049bff9453704dc75a1,"Waterloo, IA",Medium
ZATT,42415,12/31/2019,2019,333884,60403049bff9453704dc75a2,"Waterloo, IA",Medium
ZATT,42415,11/30/2019,2019,333381,60403049bff9453704dc75a3,"Waterloo, IA",Medium
ZATT,42415,10/31/2019,2019,332777,60403049bff9453704dc75a4,"Waterloo, IA",Medium
ZATT,42415,9/30/2019,2019,331703,60403049bff9453704dc75a5,"Waterloo, IA",Medium
ZATT,42415,8/31/2019,2019,330608,60403049bff9453704dc75a6,"Waterloo, IA",Medium
ZATT,42415,7/31/2019,2019,329826,60403049bff9453704dc75a7,"Waterloo, IA",Medium
ZATT,42415,6/30/2019,2019,329058,60403049bff9453704dc75a8,"Waterloo, IA",Medium
ZATT,42415,5/31/2019,2019,328326,60403049bff9453704dc75a9,"Waterloo, IA",Medium
ZATT,42415,4/30/2019,2019,327386,60403049bff9453704dc75aa,"Waterloo, IA",Medium
ZATT,42415,3/31/2019,2019,326571,60403049bff9453704dc75ab,"Waterloo, IA",Medium
ZATT,42415,2/28/2019,2019,325413,60403049bff9453704dc75ac,"Waterloo, IA",Medium
ZATT,42415,1/31/2019,2019,324264,60403049bff9453704dc75ad,"Waterloo, IA",Medium
ZATT,42415,12/31/2018,2018,323367,60403049bff9453704dc75ae,"Waterloo, IA",Medium
ZATT,42415,11/30/2018,2018,322867,60403049bff9453704dc75af,"Waterloo, IA",Medium
ZATT,42415,10/31/2018,2018,322669,60403049bff9453704dc75b0,"Waterloo, IA",Medium
ZATT,42415,9/30/2018,2018,322795,60403049bff9453704dc75b1,"Waterloo, IA",Medium
ZATT,42415,8/31/2018,2018,322918,60403049bff9453704dc75b2,"Waterloo, IA",Medium
ZATT,42415,7/31/2018,2018,322896,60403049bff9453704dc75b3,"Waterloo, IA",Medium
ZATT,42415,6/30/2018,2018,322744,60403049bff9453704dc75b4,"Waterloo, IA",Medium
ZATT,42415,5/31/2018,2018,322283,60403049bff9453704dc75b5,"Waterloo, IA",Medium
ZATT,42415,4/30/2018,2018,321327,60403049bff9453704dc75b6,"Waterloo, IA",Medium
ZATT,42415,3/31/2018,2018,319980,60403049bff9453704dc75b7,"Waterloo, IA",Medium
ZATT,42415,2/28/2018,2018,318638,60403049bff9453704dc75b8,"Waterloo, IA",Medium
ZATT,42415,1/31/2018,2018,317404,60403049bff9453704dc75b9,"Waterloo, IA",Medium
ZATT,42415,12/31/2017,2017,315895,60403049bff9453704dc75ba,"Waterloo, IA",Medium
ZATT,42415,11/30/2017,2017,314430,60403049bff9453704dc75bb,"Waterloo, IA",Medium
ZATT,42415,10/31/2017,2017,312572,60403049bff9453704dc75bc,"Waterloo, IA",Medium
ZATT,42415,9/30/2017,2017,311189,60403049bff9453704dc75bd,"Waterloo, IA",Medium
ZATT,42415,8/31/2017,2017,309722,60403049bff9453704dc75be,"Waterloo, IA",Medium
ZATT,42415,7/31/2017,2017,308499,60403049bff9453704dc75bf,"Waterloo, IA",Medium
ZATT,42415,6/30/2017,2017,307127,60403049bff9453704dc75c0,"Waterloo, IA",Medium
ZATT,42415,5/31/2017,2017,306038,60403049bff9453704dc75c1,"Waterloo, IA",Medium
ZATT,42415,4/30/2017,2017,305300,60403049bff9453704dc75c2,"Waterloo, IA",Medium
ZATT,42415,3/31/2017,2017,304443,60403049bff9453704dc75c3,"Waterloo, IA",Medium
ZATT,42415,2/28/2017,2017,303692,60403049bff9453704dc75c4,"Waterloo, IA",Medium
ZATT,42415,1/31/2017,2017,302837,60403049bff9453704dc75c5,"Waterloo, IA",Medium
ZATT,42415,12/31/2016,2016,301952,60403049bff9453704dc75c6,"Waterloo, IA",Medium
ZATT,42415,11/30/2016,2016,300732,60403049bff9453704dc75c7,"Waterloo, IA",Medium
ZATT,42415,10/31/2016,2016,299757,60403049bff9453704dc75c8,"Waterloo, IA",Medium
ZATT,42415,9/30/2016,2016,298583,60403049bff9453704dc75c9,"Waterloo, IA",Medium
ZATT,42415,8/31/2016,2016,297467,60403049bff9453704dc75ca,"Waterloo, IA",Medium
ZATT,42415,7/31/2016,2016,296147,60403049bff9453704dc75cb,"Waterloo, IA",Medium
ZATT,42415,6/30/2016,2016,295222,60403049bff9453704dc75cc,"Waterloo, IA",Medium
ZATT,42415,5/31/2016,2016,294327,60403049bff9453704dc75cd,"Waterloo, IA",Medium
ZATT,42415,4/30/2016,2016,293358,60403049bff9453704dc75ce,"Waterloo, IA",Medium
ZATT,42415,3/31/2016,2016,292365,60403049bff9453704dc75cf,"Waterloo, IA",Medium
ZATT,42415,2/29/2016,2016,291146,60403049bff9453704dc75d0,"Waterloo, IA",Medium
ZATT,42415,1/31/2016,2016,290261,60403049bff9453704dc75d1,"Waterloo, IA",Medium
ZATT,42415,12/31/2015,2015,289497,60403049bff9453704dc75d2,"Waterloo, IA",Medium
ZATT,42415,11/30/2015,2015,289168,60403049bff9453704dc75d3,"Waterloo, IA",Medium
ZATT,42415,10/31/2015,2015,288624,60403049bff9453704dc75d4,"Waterloo, IA",Medium
ZATT,42415,9/30/2015,2015,288008,60403049bff9453704dc75d5,"Waterloo, IA",Medium
ZATT,42415,8/31/2015,2015,287471,60403049bff9453704dc75d6,"Waterloo, IA",Medium
ZATT,42415,7/31/2015,2015,286617,60403049bff9453704dc75d7,"Waterloo, IA",Medium
ZATT,42415,6/30/2015,2015,285443,60403049bff9453704dc75d8,"Waterloo, IA",Medium
ZATT,42415,5/31/2015,2015,284154,60403049bff9453704dc75d9,"Waterloo, IA",Medium
ZATT,42415,4/30/2015,2015,283312,60403049bff9453704dc75da,"Waterloo, IA",Medium
ZATT,42415,3/31/2015,2015,282904,60403049bff9453704dc75db,"Waterloo, IA",Medium
ZATT,42415,2/28/2015,2015,282095,60403049bff9453704dc75dc,"Waterloo, IA",Medium
ZATT,42415,1/31/2015,2015,281095,60403049bff9453704dc75dd,"Waterloo, IA",Medium
ZATT,42415,12/31/2014,2014,279882,60403049bff9453704dc75de,"Waterloo, IA",Medium
ZATT,42415,11/30/2014,2014,279083,60403049bff9453704dc75df,"Waterloo, IA",Medium
ZATT,42415,10/31/2014,2014,278211,60403049bff9453704dc75e0,"Waterloo, IA",Medium
ZATT,42415,9/30/2014,2014,277474,60403049bff9453704dc75e1,"Waterloo, IA",Medium
ZATT,42415,8/31/2014,2014,276601,60403049bff9453704dc75e2,"Waterloo, IA",Medium
ZATT,42415,7/31/2014,2014,276025,60403049bff9453704dc75e3,"Waterloo, IA",Medium
ZATT,42415,6/30/2014,2014,275313,60403049bff9453704dc75e4,"Waterloo, IA",Medium
ZATT,42415,5/31/2014,2014,274300,60403049bff9453704dc75e5,"Waterloo, IA",Medium
ZATT,42415,4/30/2014,2014,272670,60403049bff9453704dc75e6,"Waterloo, IA",Medium
ZATT,42415,3/31/2014,2014,271151,60403049bff9453704dc75e7,"Waterloo, IA",Medium
ZATT,42415,2/28/2014,2014,269988,60403049bff9453704dc75e8,"Waterloo, IA",Medium
ZATT,42415,1/31/2014,2014,269246,60403049bff9453704dc75e9,"Waterloo, IA",Medium
ZATT,42415,12/31/2013,2013,268702,60403049bff9453704dc75ea,"Waterloo, IA",Medium
ZATT,42415,11/30/2013,2013,268718,60403049bff9453704dc75eb,"Waterloo, IA",Medium
ZATT,42415,10/31/2013,2013,268766,60403049bff9453704dc75ec,"Waterloo, IA",Medium
ZATT,42415,9/30/2013,2013,269136,60403049bff9453704dc75ed,"Waterloo, IA",Medium
ZATT,42415,8/31/2013,2013,268754,60403049bff9453704dc75ee,"Waterloo, IA",Medium
ZATT,42415,7/31/2013,2013,267871,60403049bff9453704dc75ef,"Waterloo, IA",Medium
ZATT,42415,6/30/2013,2013,266696,60403049bff9453704dc75f0,"Waterloo, IA",Medium
ZATT,42415,5/31/2013,2013,266065,60403049bff9453704dc75f1,"Waterloo, IA",Medium
ZATT,42415,4/30/2013,2013,266381,60403049bff9453704dc75f2,"Waterloo, IA",Medium
ZATT,42415,3/31/2013,2013,266431,60403049bff9453704dc75f3,"Waterloo, IA",Medium
ZATT,42415,2/28/2013,2013,267349,60403049bff9453704dc75f4,"Waterloo, IA",Medium
ZATT,42415,1/31/2013,2013,267488,60403049bff9453704dc75f5,"Waterloo, IA",Medium
ZATT,42415,12/31/2012,2012,267810,60403049bff9453704dc75f6,"Waterloo, IA",Medium
ZATT,42415,11/30/2012,2012,265540,60403049bff9453704dc75f7,"Waterloo, IA",Medium
ZATT,42415,10/31/2012,2012,263798,60403049bff9453704dc75f8,"Waterloo, IA",Medium
ZATT,42415,9/30/2012,2012,261292,60403049bff9453704dc75f9,"Waterloo, IA",Medium
ZATT,42415,8/31/2012,2012,260504,60403049bff9453704dc75fa,"Waterloo, IA",Medium
ZATT,42415,7/31/2012,2012,261240,60403049bff9453704dc75fb,"Waterloo, IA",Medium
ZATT,42415,6/30/2012,2012,262621,60403049bff9453704dc75fc,"Waterloo, IA",Medium
ZATT,42415,5/31/2012,2012,263732,60403049bff9453704dc75fd,"Waterloo, IA",Medium
ZATT,42415,4/30/2012,2012,263223,60403049bff9453704dc75fe,"Waterloo, IA",Medium
ZATT,42415,3/31/2012,2012,262789,60403049bff9453704dc75ff,"Waterloo, IA",Medium
ZATT,42415,2/29/2012,2012,262151,60403049bff9453704dc7600,"Waterloo, IA",Medium
ZATT,42415,1/31/2012,2012,261813,60403049bff9453704dc7601,"Waterloo, IA",Medium
ZATT,42415,12/31/2011,2011,261148,60403049bff9453704dc7602,"Waterloo, IA",Medium
ZATT,42415,11/30/2011,2011,261146,60403049bff9453704dc7603,"Waterloo, IA",Medium
ZATT,42415,10/31/2011,2011,260798,60403049bff9453704dc7604,"Waterloo, IA",Medium
ZATT,42415,9/30/2011,2011,260927,60403049bff9453704dc7605,"Waterloo, IA",Medium
ZATT,42415,8/31/2011,2011,260882,60403049bff9453704dc7606,"Waterloo, IA",Medium
ZATT,42415,7/31/2011,2011,260543,60403049bff9453704dc7607,"Waterloo, IA",Medium
ZATT,42415,6/30/2011,2011,259946,60403049bff9453704dc7608,"Waterloo, IA",Medium
